地名,センター,燃やす,不燃,プラ,ビン缶,ペット,古紙,有害
大生院、大永山、萩生（国道１１号線より南）,清掃センター,水 土,木2 木4,火,月1 月3,木1 木3,月2 月4,月5
上原、御蔵町、土橋２丁目,清掃センター,水 土,金2 金4,火,月2 月4,金1 金3,月1 月3,月5
中萩町、中村、萩生（国道１１号線より北）,清掃センター,水 土,金2 金4,火,月2 月4,金1 金3,月1 月3,月5
喜光地町２丁目、北内町、西連寺町、篠場町、角野新田町,清掃センター,水 土,金1 金3,月,火1 火3,金2 金4,火2 火4,火5
立川町、種子川町、中筋町、中西町、西泉町,清掃センター,水 土,金1 金3,月,火1 火3,金2 金4,火2 火4,火5
宮原町、山田町、山根町、吉岡町,清掃センター,水 土,金1 金3,月,火1 火3,金2 金4,火2 火4,火5
上泉町、喜光地町１丁目、岸の上町、寿町,清掃センター,水 土,木1 木3,月,火2 火4,木2 木4,火1 火3,火5
坂井町３丁目、下泉町、城下町、 瀬戸町、外山町,清掃センター,水 土,木1 木3,月,火2 火4,木2 木4,火1 火3,火5
西喜光地町、星原町、松木町、松原町,清掃センター,水 土,木1 木3,月,火2 火4,木2 木4,火1 火3,火5
観音原町、光明寺、国領、郷４・５丁目,清掃センター,火 金,土1 土2,木,水1 水3,土2 土4,水2 水4,水5
七宝台町、東雲町３丁目、角野、東田、船木,清掃センター,火 金,土1 土2,木,水1 水3,土2 土4,水2 水4,水5
阿島、落神町、清住町、楠崎、黒島,清掃センター,火 金,月1 月3,木,水2 水4,月2 月4,水1 水3,水5
郷１・２・３丁目、郷（番地）、神郷、東雲町２丁目,清掃センター,火 金,月1 月3,木,水2 水4,月2 月4,水1 水3,水5
多喜浜、長岩町、荷内町、又野、松神子１・２・３丁目,清掃センター,火 金,月1 月3,木,水2 水4,月2 月4,水1 水3,水5
宇高町１丁目、高田、田の上、八幡、垣生、松神子４丁目,清掃センター,火 金,土2 土4,水,木1 木3,土1 土3,木2 木4,木5
宇高町２・３・４・５丁目、桜木町、沢津町,清掃センター,火 金,月2 月4,水,木2 木4,月1 月3,木1 木3,木5
東雲町１丁目、清水町、高津町、松の木町、南小松原町,清掃センター,火 金,月2 月4,水,木2 木4,月1 月3,木1 木3,木5
坂井町１・２丁目、庄内町、新須賀町４丁目（４番～）,清掃センター,月 木,水1 水3,土,金1 金3,水2 水4,金2 金4,金5
田所町、平形町、八雲町,清掃センター,月 木,水1 水3,土,金1 金3,水2 水4,金2 金4,金5
泉池町、泉宮町、菊本町、繁本町,清掃センター,月 木,火1 火3,土,金2 金4,火2 火4,金1 金3,金5
新須賀町１・２・３丁目・４丁目（１番～３番）、 徳常町、中須賀町,清掃センター,月 木,火1 火3,土,金2 金4,火2 火4,金1 金3,金5
西原町、西町、港町、宮西町、若水町,清掃センター,月 木,火1 火3,土,金2 金4,火2 火4,金1 金3,金5
磯浦町、江口町、王子町、北新町,清掃センター,月 木,火2 火4,金,土1 土3,火1 火3,火2 火4,土5
河内町、新田町、惣開町、滝の宮町、,清掃センター,月 木,火2 火4,金,土1 土3,火1 火3,火2 火4,土5
西の土居町、星越町、前田町,清掃センター,月 木,火2 火4,金,土1 土3,火1 火3,火2 火4,土5
一宮町、久保田町、高木町、土橋１丁目,清掃センター,月 木,水2 水4,金,土2 土4,水1 水3,土1 土3,土5
中村松木、本郷,清掃センター,月 木,水2 水4,金,土2 土4,水1 水3,土1 土3,土5
政枝町、横水町,清掃センター,月 木,水2 水4,金,土2 土4,水1 水3,土1 土3,土5
上之町、中之町,清掃センター,月 木,水3,水1 水2 水4 水5,土1 土2 土3 土4,土1 土2 土3 土4,土1 土2 土3 土4,土5
宮西町、西之町、築之町,清掃センター,火 金,水3,水1 水2 水4 水5,土1 土2 土3 土4,土1 土2 土3 土4,土1 土2 土3 土4,土5
別子山,清掃センター,月 木,火1 火3,水,火2 火4,火2 火4,火2 火4,火5
